"","name","id","align","eye","hair","sex","gsm","alive","appearances","year"
"1","spider-man (peter parker)","secret identity","good characters","hazel eyes","brown hair","male characters","heterosexual characters","living characters",4043,"1962"
"2","captain america (steven rogers)","public identity","good characters","blue eyes","white hair","male characters","heterosexual characters","living characters",3360,"1941"
"3","wolverine (james \""logan\"" howlett)","public identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",3061,"1974"
"4","iron man (anthony \""tony\"" stark)","public identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",2961,"1963"
"5","thor (thor odinson)","no dual identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",2258,"1950"
"6","benjamin grimm (earth-616)","public identity","good characters","blue eyes","no hair","male characters","heterosexual characters","living characters",2255,"1961"
"7","reed richards (earth-616)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",2072,"1961"
"8","hulk (robert bruce banner)","public identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",2017,"1962"
"9","scott summers (earth-616)","public identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",1955,"1963"
"10","jonathan storm (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",1934,"1961"
"11","henry mccoy (earth-616)","public identity","good characters","blue eyes","blue hair","male characters","heterosexual characters","living characters",1825,"1963"
"12","susan storm (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",1713,"1961"
"13","namor mckenzie (earth-616)","no dual identity","neutral characters","green eyes","black hair","male characters","heterosexual characters","living characters",1528,"need to drop"
"14","ororo munroe (earth-616)","public identity","good characters","blue eyes","white hair","female characters","heterosexual characters","living characters",1512,"1975"
"15","clinton barton (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",1394,"1964"
"16","matthew murdock (earth-616)","public identity","good characters","blue eyes","red hair","male characters","heterosexual characters","living characters",1338,"1964"
"17","stephen strange (earth-616)","public identity","good characters","grey eyes","black hair","male characters","heterosexual characters","living characters",1307,"1963"
"18","mary jane watson (earth-616)","no dual identity","good characters","green eyes","red hair","female characters","heterosexual characters","living characters",1304,"1965"
"19","john jonah jameson (earth-616)","no dual identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",1266,"1963"
"20","robert drake (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",1265,"1963"
"21","henry pym (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",1237,"1962"
"22","charles xavier (earth-616)","public identity","good characters","blue eyes","bald","male characters","heterosexual characters","deceased characters",1233,"1963"
"23","warren worthington iii (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",1230,"1963"
"24","piotr rasputin (earth-616)","secret identity","good characters","blue eyes","black hair","male characters","heterosexual characters","living characters",1162,"1975"
"25","wanda maximoff (earth-616)","public identity","good characters","green eyes","brown hair","female characters","heterosexual characters","living characters",1161,"1964"
"26","nicholas fury (earth-616)","no dual identity","neutral characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",1137,"1963"
"27","janet van dyne (earth-616)","public identity","good characters","blue eyes","auburn hair","female characters","heterosexual characters","living characters",1120,"1963"
"28","jean grey (earth-616)","public identity","good characters","green eyes","red hair","female characters","heterosexual characters","deceased characters",1107,"1963"
"29","natalia romanova (earth-616)","public identity","good characters","green eyes","red hair","female characters","bisexual characters","living characters",1050,"1964"
"30","kurt wagner (earth-616)","secret identity","good characters","yellow eyes","blue hair","male characters","heterosexual characters","living characters",1047,"1975"
"31","vision (earth-616)","secret identity","good characters","gold eyes","no hair","male characters","heterosexual characters","living characters",1007,"1968"
"32","may reilly (earth-616)","no dual identity","good characters","blue eyes","grey hair","female characters","heterosexual characters","living characters",1000,"1962"
"33","katherine pryde (earth-616)","secret identity","good characters","hazel eyes","brown hair","female characters","heterosexual characters","living characters",886,"1980"
"34","carol danvers (earth-616)","public identity","good characters","blue eyes","blond hair","female characters","heterosexual characters","living characters",881,"1968"
"35","jennifer walters (earth-616)","public identity","good characters","green eyes","brown hair","female characters","heterosexual characters","living characters",881,"1980"
"36","emma frost (earth-616)","public identity","neutral characters","blue eyes","brown hair","female characters","heterosexual characters","living characters",880,"1980"
"37","frank castle (earth-616)","public identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",878,"1974"
"38","luke cage (earth-616)","no dual identity","good characters","brown eyes","black hair","male characters","heterosexual characters","living characters",856,"1972"
"39","rogue (anna marie) (earth-616)","secret identity","good characters","green eyes","auburn hair","female characters","heterosexual characters","living characters",850,"need to drop"
"40","conan (earth-616)","no dual identity","neutral characters","blue eyes","black hair","male characters","heterosexual characters","living characters",787,"1970"
"41","joseph robertson (earth-616)","no dual identity","good characters","brown eyes","white hair","male characters","heterosexual characters","living characters",752,"1967"
"42","pietro maximoff (earth-616)","public identity","good characters","blue eyes","silver hair","male characters","heterosexual characters","living characters",740,"1964"
"43","hercules (earth-616)","no dual identity","good characters","blue eyes","brown hair","male characters","bisexual characters","living characters",725,"1965"
"44","victor von doom (earth-616)","public identity","bad characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",721,"1962"
"45","max eisenhardt (earth-616)","public identity","neutral characters","grey eyes","bald","male characters","heterosexual characters","living characters",709,"1963"
"46","elizabeth braddock (earth-616)","secret identity","neutral characters","blue eyes","purple hair","female characters","bisexual characters","living characters",708,"1976"
"47","norrin radd (earth-616)","public identity","good characters","blue eyes","bald","male characters","heterosexual characters","living characters",696,"1966"
"48","norman osborn (earth-616)","public identity","bad characters","blue eyes","auburn hair","male characters","heterosexual characters","living characters",692,"1964"
"49","eugene thompson (earth-616)","secret identity","good characters","blue eyes","strawberry blond hair","male characters","heterosexual characters","living characters",689,"1962"
"50","simon williams (earth-616)","public identity","good characters","red eyes","grey hair","male characters","heterosexual characters","living characters",686,"1964"
"51","samuel guthrie (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",657,"1982"
"52","james buchanan barnes (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",641,"1941"
"53","remy lebeau (earth-616)","secret identity","good characters","black eyeballs","brown hair","male characters","heterosexual characters","living characters",636,"1990"
"54","daniel rand (earth-616)","secret identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",618,"1974"
"55","nathan summers (earth-616)","public identity","neutral characters","blue eyes","white hair","male characters","heterosexual characters","living characters",612,"1986"
"56","elizabeth brant (earth-616)","no dual identity","good characters","brown eyes","brown hair","female characters","heterosexual characters","living characters",599,"1963"
"57","richard jones (earth-616)","secret identity","good characters","brown eyes","brown hair","male characters","heterosexual characters","living characters",590,"1962"
"58","edwin jarvis (earth-616)","no dual identity","good characters","blue eyes","white hair","male characters","heterosexual characters","living characters",567,"1964"
"59","alexander summers (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",558,"1969"
"60","patricia walker (earth-616)","secret identity","good characters","blue eyes","red hair","female characters","heterosexual characters","living characters",550,"1944"
"61","human torch (android) (earth-616)","public identity","good characters","blue eyes","blond hair","male characters","heterosexual characters","living characters",548,"1939"
